Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
ERCC8	5q12.1	7.04	7.02	0.45	0.68	0.02	0.843	0.884	Altered group
TNN	1q25.1	2.71	2.65	1.61	1.97	0.06	0.843	0.884	Altered group
COIL	17q22	8.64	8.63	0.41	0.61	0.01	0.844	0.884	Altered group
NXF4	Xq22.1	0.10	0.09	0.27	0.29	0.01	0.844	0.884	Altered group
ZNF223	19q13.31	6.04	6.02	0.54	1.01	0.02	0.844	0.885	Altered group
SNORA75	2q37.1	0.03	0.02	0.12	0.12	0.00	0.845	0.885	Altered group
ADCK2	7q34	9.79	9.77	0.50	0.68	0.02	0.846	0.886	Altered group
CSN1S1	4q13.3	0.08	0.07	0.27	0.35	0.01	0.846	0.886	Altered group
SLC2A14	12p13.31	5.14	5.11	0.79	1.45	0.03	0.846	0.886	Altered group
SYT7	11q12.2	5.54	5.48	1.80	1.71	0.06	0.846	0.886	Altered group
ADRA2B	2q11.2	3.65	3.61	1.39	1.98	0.05	0.847	0.886	Altered group
PSTK	10q26.13	4.97	4.95	0.64	0.87	0.02	0.847	0.886	Altered group
PROX1	1q32.3	3.90	3.84	1.96	1.96	0.07	0.847	0.886	Altered group
HSPA5	9q33.3	13.83	13.82	0.50	0.65	0.02	0.847	0.887	Altered group
ZFHX3	16q22.2-q22.3	9.08	9.05	0.62	0.91	0.02	0.847	0.887	Altered group
PP2D1	3p24.3	0.30	0.29	0.49	0.40	0.02	0.848	0.887	Altered group
NBPF15	1q21.1	8.07	8.04	0.79	0.94	0.03	0.848	0.888	Altered group
BRAF	7q34	7.27	7.25	0.66	0.85	0.02	0.848	0.888	Altered group
FAM167B	1p35.2	9.20	9.15	1.69	1.96	0.06	0.849	0.888	Altered group
APOBEC4	1q25.3	0.15	0.14	0.29	0.44	0.01	0.849	0.888	Altered group
IMMP1L	11p13	5.67	5.66	0.46	0.63	0.02	0.849	0.888	Altered group
DAP	5p15.2	11.52	11.50	0.63	0.71	0.02	0.849	0.889	Altered group
PCED1A	20p13	9.49	9.47	0.61	0.66	0.02	0.850	0.889	Altered group
PCBP2	12q13.13	13.15	13.14	0.26	0.45	0.01	0.850	0.889	Altered group
POU4F3	5q32	0.83	0.81	0.66	0.73	0.02	0.850	0.889	Altered group
ARL3	10q24.32	8.25	8.23	0.45	0.61	0.02	0.851	0.890	Altered group
INTS4	11q14.1	9.47	9.46	0.44	0.74	0.02	0.851	0.890	Altered group
CTSK	1q21.3	11.68	11.63	1.63	2.01	0.06	0.851	0.890	Altered group
SPARC	5q33.1	15.03	15.00	1.02	0.96	0.03	0.851	0.890	Altered group
CAMK2A	5q32	4.01	3.95	1.72	2.01	0.06	0.851	0.890	Altered group
RCOR1	14q32.31	9.48	9.47	0.43	0.59	0.01	0.852	0.890	Altered group
RABL2B	22q13.33	8.28	8.26	0.41	0.61	0.01	0.852	0.890	Altered group
BUB1	2q13	9.09	9.07	0.73	1.03	0.02	0.853	0.891	Altered group
ZSCAN12P1	6p22.1	4.33	4.27	1.55	2.11	0.05	0.853	0.892	Altered group
OR1L6	9q33.2	0.01	0.01	0.07	0.07	0.00	0.854	0.892	Altered group
FAM199X	Xq22.2	8.58	8.56	0.45	0.76	0.02	0.854	0.892	Altered group
SART3	12q23.3	10.45	10.44	0.27	0.40	0.01	0.854	0.892	Altered group
FBXO10	9p13.2	8.11	8.10	0.40	0.72	0.01	0.855	0.893	Altered group
DRC1	2p23.3	1.14	1.10	1.27	1.19	0.04	0.855	0.893	Altered group
SULT2A1	19q13.33	0.27	0.24	0.86	0.90	0.03	0.855	0.893	Altered group
KHDC4	1q22	9.74	9.72	0.61	0.74	0.02	0.855	0.893	Altered group
JUND	19p13.11	10.91	10.88	0.75	0.88	0.02	0.855	0.893	Altered group
PLAGL2	20q11.21	9.27	9.26	0.42	0.61	0.01	0.855	0.893	Altered group
POTED	21q11.2	0.17	0.14	0.92	0.60	0.03	0.856	0.894	Altered group
KRTAP26-1	21q22.11	0.10	0.09	0.32	0.57	0.01	0.856	0.894	Altered group
SCG2	2q36.1	7.17	7.11	1.71	1.99	0.05	0.858	0.896	Altered group
KRT5	12q13.13	5.41	5.31	3.04	4.89	0.10	0.858	0.896	Altered group
UHMK1	1q23.3	8.37	8.32	1.43	1.51	0.05	0.858	0.896	Altered group
MRPL48	11q13.4	8.63	8.61	0.64	0.69	0.02	0.859	0.896	Altered group
BEND7	10p13	5.76	5.71	1.38	1.98	0.04	0.859	0.896	Altered group
COL4A5	Xq22.3	5.33	5.26	2.14	3.13	0.07	0.859	0.896	Altered group
TTK	6q14.1	7.54	7.51	1.04	1.18	0.03	0.860	0.897	Altered group
DNMT3L	21q22.3	0.18	0.17	0.37	0.51	0.01	0.860	0.897	Altered group
PCYT1A	3q29	8.71	8.70	0.41	0.55	0.01	0.861	0.897	Altered group
STX2	12q24.33	8.67	8.65	0.53	0.79	0.02	0.861	0.897	Altered group
CTNNAL1	9q31.3	9.12	9.08	1.18	1.17	0.04	0.861	0.898	Altered group
C4ORF51	4q31.21	0.14	0.12	0.56	0.56	0.02	0.861	0.898	Altered group
IFNA2	9p21.3	0.01	0.01	0.08	0.08	0.00	0.861	0.898	Altered group
CFC1B	2q21.1	0.08	0.07	0.39	0.44	0.01	0.862	0.898	Altered group
AMMECR1	Xq23	8.30	8.28	0.64	0.85	0.02	0.863	0.899	Altered group
C2ORF83	2q36.3	0.05	0.04	0.17	0.18	0.01	0.863	0.899	Altered group
DCAF4L2	8q21.3	0.68	0.65	1.33	1.07	0.04	0.863	0.900	Altered group
ZNF547	19q13.43	5.37	5.35	0.69	0.81	0.02	0.863	0.900	Altered group
RNASEH2C	11q13.1	9.58	9.55	0.66	0.80	0.02	0.863	0.900	Altered group
SETD1B	12q24.31	9.85	9.84	0.44	0.46	0.01	0.864	0.900	Altered group
COL5A3	19p13.2	9.48	9.43	1.69	1.74	0.05	0.864	0.900	Altered group
CACNA1H	16p13.3	6.07	6.01	1.80	2.05	0.06	0.864	0.900	Altered group
BEX1	Xq22.1	2.89	2.83	2.13	2.83	0.07	0.864	0.900	Altered group
ZMYM4	1p34.3	10.35	10.33	0.48	0.74	0.02	0.865	0.901	Altered group
ACR	22q13.33	1.52	1.49	0.93	1.22	0.03	0.865	0.901	Altered group
NRCAM	7q31.1	7.31	7.25	1.88	2.49	0.06	0.865	0.901	Altered group
MZT1	13q21.33	8.78	8.76	0.68	0.93	0.02	0.867	0.902	Altered group
BPIFB2	20q11.21	0.58	0.54	1.32	1.15	0.04	0.867	0.903	Altered group
SLC25A36	3q23	10.19	10.17	0.60	0.90	0.02	0.868	0.904	Altered group
EIF5B	2q11.2	11.57	11.55	0.62	0.67	0.02	0.868	0.904	Altered group
TMEM220	17p13.1	6.70	6.68	0.62	1.20	0.02	0.869	0.904	Altered group
PTPRR	12q15	3.70	3.65	1.58	2.13	0.05	0.869	0.904	Altered group
CC2D2B	10q24.1	0.50	0.48	0.66	0.52	0.02	0.869	0.904	Altered group
TMCO6	5q31.3	7.75	7.74	0.47	0.60	0.01	0.869	0.905	Altered group
SUPT7L	2p23.3	9.97	9.96	0.30	0.38	0.01	0.870	0.905	Altered group
RNF133	7q31.32	0.91	0.89	0.82	0.84	0.02	0.870	0.905	Altered group
ARHGAP23	17q12	9.53	9.50	0.89	1.27	0.03	0.870	0.905	Altered group
OR2V2	5q35.3	0.03	0.03	0.20	0.29	0.01	0.870	0.905	Altered group
BET1L	11p15.5	10.90	10.89	0.32	0.46	0.01	0.870	0.905	Altered group
IBSP	4q22.1	1.89	1.83	1.87	1.84	0.05	0.871	0.905	Altered group
APOBEC3B	22q13.1	7.68	7.62	1.90	1.35	0.05	0.871	0.905	Altered group
KIAA1841	2p15	6.93	6.91	0.56	0.86	0.02	0.871	0.905	Altered group
ARF2P	17q21.31	6.90	6.87	0.83	1.33	0.03	0.871	0.906	Altered group
SDF2L1	22q11.21	9.32	9.30	0.88	0.89	0.03	0.871	0.906	Altered group
TTC27	2p22.3	8.67	8.66	0.45	0.54	0.01	0.871	0.906	Altered group
CYB561	17q23.3	9.64	9.62	0.72	0.88	0.02	0.872	0.906	Altered group
HIP1R	12q24.31	9.41	9.38	1.04	1.19	0.03	0.873	0.907	Altered group
LRRC37A3	17q24.1	5.46	5.44	0.78	1.24	0.02	0.874	0.907	Altered group
PIGB	15q21.3	8.22	8.21	0.49	0.73	0.01	0.874	0.908	Altered group
ZNF229	19q13.31	5.74	5.71	1.20	2.09	0.04	0.874	0.908	Altered group
CHAD	17q21.33	3.32	3.25	2.18	2.73	0.06	0.876	0.909	Altered group
VSTM2B	19q12	0.70	0.67	1.36	1.42	0.04	0.876	0.909	Altered group
UGT1A9	2q37.1	0.23	0.21	0.55	0.75	0.02	0.876	0.909	Altered group
HOXA2	7p15.2	3.05	3.02	1.20	1.69	0.03	0.876	0.909	Altered group
LEP	7q32.1	1.66	1.61	1.77	1.67	0.05	0.876	0.910	Altered group
NEK6	9q33.3	10.25	10.24	0.54	0.82	0.02	0.877	0.910	Altered group
PRICKLE4	6p21.1	4.53	4.50	1.07	1.30	0.03	0.877	0.910	Altered group
HSD3B1	1p12	0.23	0.22	0.49	0.71	0.01	0.878	0.911	Altered group
MTERF1	7q21.2	7.91	7.89	0.66	0.76	0.02	0.878	0.911	Altered group
TIMP4	3p25.2	2.73	2.68	1.73	2.06	0.05	0.879	0.911	Altered group
ZIC2	13q32.3	2.73	2.67	2.19	2.43	0.06	0.879	0.911	Altered group
UGT1A10	2q37.1	0.23	0.21	0.58	0.62	0.02	0.879	0.911	Altered group
PDX1	13q12.2	0.31	0.28	0.97	0.81	0.03	0.879	0.911	Altered group
CFHR4	1q31.3	0.41	0.40	0.55	0.64	0.01	0.879	0.912	Altered group
GNG7	19p13.3	10.28	10.25	1.06	1.56	0.03	0.879	0.912	Altered group
PRSS54	16q21	0.27	0.26	0.55	0.53	0.01	0.879	0.912	Altered group
PYY	17q21.31	0.45	0.43	0.72	0.92	0.02	0.879	0.912	Altered group
CTHRC1	8q22.3	10.12	10.08	1.56	1.70	0.04	0.880	0.912	Altered group
PPP1R10	6p21.33	11.09	11.08	0.39	0.53	0.01	0.880	0.912	Altered group
PLSCR5	3q24	0.05	0.04	0.17	0.23	0.00	0.880	0.912	Altered group
PPP1R14A	19q13.1	3.79	3.75	1.43	1.53	0.04	0.880	0.912	Altered group
SSX2	Xp11.22	2.11	2.02	3.10	3.18	0.08	0.881	0.913	Altered group
CSDC2	22q13.2	1.63	1.58	1.92	1.81	0.05	0.881	0.913	Altered group
SERPINA7	Xq22.3	0.13	0.11	0.58	0.60	0.02	0.881	0.913	Altered group
SYPL1	7q22.2	11.17	11.15	0.64	0.63	0.02	0.881	0.913	Altered group
SMG6	17p13.3	10.18	10.17	0.35	0.54	0.01	0.881	0.913	Altered group
IL36B	2q14.1	0.84	0.82	0.95	1.44	0.03	0.882	0.913	Altered group
F11	4q35.2	0.26	0.25	0.44	0.55	0.01	0.882	0.914	Altered group
PLSCR2	3q24	0.08	0.07	0.21	0.23	0.01	0.882	0.914	Altered group
FSCN1	7p22.1	11.46	11.42	1.16	1.81	0.03	0.883	0.915	Altered group
ANKRD46	8q22.3	8.07	8.06	0.55	0.87	0.01	0.884	0.915	Altered group
OR4F4	15q26.3	0.02	0.01	0.10	0.10	0.00	0.884	0.915	Altered group
ACTL10	20q11.22	4.92	4.90	0.79	1.28	0.02	0.884	0.915	Altered group
WDTC1	1p36.11	11.07	11.06	0.42	0.71	0.01	0.884	0.915	Altered group
SMIM10L2A	Xq26.3	4.74	4.70	1.39	1.85	0.04	0.885	0.916	Altered group
NUP160	11p11.2	10.22	10.21	0.50	0.77	0.01	0.885	0.916	Altered group
POTEC	18p11.21	0.11	0.10	0.45	0.41	0.01	0.886	0.917	Altered group
PPID	4q32.1	9.44	9.43	0.34	0.50	0.01	0.886	0.917	Altered group
NINJ1	9q22.31	10.91	10.89	0.82	1.02	0.02	0.886	0.917	Altered group
LINC00305	18q22.1	0.04	0.04	0.20	0.16	0.01	0.887	0.918	Altered group
MMP23A	1p36.33	0.23	0.21	0.78	0.81	0.02	0.887	0.918	Altered group
RNPEPL1	2q37.3	11.46	11.44	0.80	0.78	0.02	0.887	0.918	Altered group
SNX24	5q23.2	7.27	7.25	0.91	1.23	0.02	0.887	0.918	Altered group
PRR14	16p11.2	9.71	9.70	0.60	0.51	0.01	0.887	0.918	Altered group
AKAP4	Xp11.22	0.04	0.04	0.25	0.14	0.01	0.888	0.918	Altered group
JAM3	11q25	9.15	9.13	1.07	1.68	0.03	0.888	0.918	Altered group
UBL4B	1p13.3	1.51	1.49	0.88	1.09	0.02	0.888	0.918	Altered group
ENPEP	4q25	5.95	5.92	1.50	1.37	0.04	0.889	0.919	Altered group
TUSC2	3p21.31	9.28	9.27	0.35	0.57	0.01	0.889	0.919	Altered group
UTP23	8q24.11	8.56	8.54	0.55	0.92	0.01	0.889	0.919	Altered group
SERPINE3	13q14.3	0.48	0.47	0.58	0.59	0.01	0.890	0.919	Altered group
WDR45	Xp11.23	10.14	10.13	0.48	0.53	0.01	0.890	0.920	Altered group
AKAP12	6q25.1	10.96	10.93	1.27	1.78	0.03	0.890	0.920	Altered group
CEP76	18p11.21	6.92	6.90	0.56	0.65	0.01	0.892	0.921	Altered group
PLEKHH2	2p21	6.52	6.48	1.28	1.76	0.03	0.892	0.922	Altered group
CREG2	2q11.2	1.07	1.04	1.16	1.14	0.03	0.893	0.922	Altered group
IRAK1BP1	6q14.1	4.33	4.31	0.62	0.97	0.02	0.893	0.922	Altered group
LCAT	16q22.1	6.14	6.13	0.75	1.02	0.02	0.893	0.922	Altered group
TPP1	11p15.4	13.55	13.54	0.67	0.86	0.02	0.893	0.922	Altered group
CPSF6	12q15	10.66	10.65	0.32	0.43	0.01	0.894	0.923	Altered group
ZNF394	7q22.1	9.14	9.13	0.37	0.51	0.01	0.894	0.923	Altered group
SMIM21	18q23	0.07	0.06	0.35	0.20	0.01	0.894	0.923	Altered group
COX19	7p22.3	8.25	8.24	0.49	0.61	0.01	0.895	0.923	Altered group
PAPSS1	4q25	10.90	10.89	0.45	0.66	0.01	0.895	0.924	Altered group
WASH7P	1p36.33	10.14	10.12	0.59	0.69	0.01	0.896	0.925	Altered group
SLC6A16	19q13.33	4.83	4.80	1.17	1.50	0.03	0.896	0.925	Altered group
ITGA7	12q13.2	9.84	9.81	1.47	2.14	0.03	0.897	0.925	Altered group
HEYL	1p34.2	7.64	7.61	1.27	1.69	0.03	0.897	0.925	Altered group
ZCCHC9	5q14.1	8.84	8.82	0.53	0.78	0.01	0.897	0.925	Altered group
SNPH	20p13	7.53	7.51	1.02	1.85	0.03	0.898	0.925	Altered group
PRKAR1B	7p22.3	8.29	8.27	0.82	1.53	0.02	0.898	0.926	Altered group
AAGAB	15q23	9.89	9.89	0.38	0.47	0.01	0.898	0.926	Altered group
ADRB3	8p11.23	1.05	1.03	0.93	1.15	0.02	0.898	0.926	Altered group
OR52L1	11p15.4	0.10	0.09	0.32	0.30	0.01	0.898	0.926	Altered group
PSMD13	11p15.5	11.20	11.19	0.34	0.49	0.01	0.898	0.926	Altered group
CMC4	Xq28	8.20	8.19	0.47	0.63	0.01	0.899	0.926	Altered group
ORC4	2q23.1	8.66	8.65	0.59	0.78	0.01	0.899	0.926	Altered group
FAM47C	Xp21.1	0.07	0.07	0.21	0.25	0.00	0.899	0.926	Altered group
VWA5B2	3q27.1	1.58	1.56	0.91	1.27	0.02	0.899	0.926	Altered group
OR52H1	11p15.4	0.03	0.03	0.19	0.13	0.00	0.900	0.927	Altered group
SPATA31D4	9q21.32	0.12	0.11	0.25	0.48	0.01	0.900	0.927	Altered group
USP48	1p36.12	11.03	11.01	0.56	0.64	0.01	0.901	0.928	Altered group
LINC00663	19p13.11	5.71	5.69	0.81	1.01	0.02	0.902	0.929	Altered group
MOB1B	4q13.3	9.63	9.61	0.56	0.90	0.01	0.902	0.929	Altered group
LPCAT1	5p15.33	11.02	11.01	0.50	0.70	0.01	0.903	0.930	Altered group
RPL23	17q12	13.36	13.34	0.57	0.75	0.01	0.904	0.930	Altered group
SNORA71C	20q11.23	0.05	0.05	0.17	0.20	0.00	0.904	0.930	Altered group
SLC52A3	20p13	4.54	4.51	1.19	1.70	0.03	0.905	0.931	Altered group
ZC3H14	14q31.3	9.84	9.83	0.37	0.53	0.01	0.905	0.931	Altered group
DDX3Y	Yq11.221	6.11	6.00	5.07	4.48	0.11	0.905	0.931	Altered group
HJV	1q21.1	0.44	0.42	0.72	0.75	0.02	0.905	0.931	Altered group
RRN3	16p13.11	10.15	10.14	0.38	0.51	0.01	0.906	0.931	Altered group
ASAH2B	10q11.23	1.69	1.67	1.20	1.37	0.03	0.906	0.931	Altered group
PRKCI	3q26.2	8.75	8.73	0.59	0.91	0.01	0.906	0.932	Altered group
LINC00472	6q13	3.12	3.09	1.19	1.42	0.03	0.906	0.932	Altered group
OR1D4	17p13.3	0.02	0.02	0.11	0.10	0.00	0.906	0.932	Altered group
IFNA14	9p21.3	0.07	0.06	0.22	0.40	0.00	0.907	0.933	Altered group
IGFBP6	12q13.13	6.98	6.95	1.77	1.63	0.04	0.907	0.933	Altered group
LINC01096	4p15.33	1.57	1.55	1.11	1.48	0.02	0.907	0.933	Altered group
SYNJ2BP	14q24.2	9.53	9.52	0.50	0.68	0.01	0.907	0.933	Altered group
GCK	7p13	2.21	2.18	1.17	1.95	0.03	0.907	0.933	Altered group
UFD1	22q11.21	10.26	10.25	0.55	0.54	0.01	0.908	0.933	Altered group
CDC7	1p22.1	8.09	8.07	0.84	0.98	0.02	0.908	0.933	Altered group
ARG1	6q23.2	1.09	1.06	1.47	2.26	0.03	0.909	0.934	Altered group
PANX3	11q24.2	0.47	0.46	0.85	0.94	0.02	0.910	0.934	Altered group
NYNRIN	14q12	7.97	7.94	1.29	1.70	0.03	0.910	0.934	Altered group
RAB25	1q22	2.24	2.20	1.84	3.05	0.04	0.910	0.934	Altered group
ALG11	13q14.3	4.25	4.23	0.75	0.96	0.02	0.910	0.934	Altered group
KCMF1	2p11.2	10.23	10.23	0.27	0.40	0.01	0.910	0.934	Altered group
FKBP2	11q13.1	10.03	10.02	0.62	0.76	0.01	0.910	0.935	Altered group
ACSM6	10q23.33	0.10	0.10	0.33	0.48	0.01	0.910	0.935	Altered group
RPL37	5p13.1	13.64	13.63	0.54	0.80	0.01	0.911	0.935	Altered group
KARS1	16q23.1	11.76	11.76	0.24	0.45	0.01	0.912	0.936	Altered group
FRG2DP	16p11.1	4.25	4.17	3.94	3.71	0.08	0.913	0.937	Altered group
SLC30A6	2p22.3	8.00	7.98	0.62	0.81	0.01	0.913	0.937	Altered group
CNN3	1p21.3	11.67	11.65	1.03	1.11	0.02	0.913	0.937	Altered group
GABBR1	6p22.1	9.05	9.03	0.98	1.13	0.02	0.914	0.938	Altered group
SEC14L3	22q12.2	0.05	0.04	0.15	0.30	0.00	0.914	0.938	Altered group
ADAM21	14q24.2	2.13	2.10	1.49	1.47	0.03	0.914	0.938	Altered group
HNRNPA3P1	10q11.21	6.67	6.66	0.34	0.47	0.01	0.914	0.938	Altered group
FGF21	19q13.33	0.11	0.11	0.45	0.40	0.01	0.914	0.938	Altered group
C4ORF46	4q32.1	7.85	7.83	0.55	0.73	0.01	0.915	0.938	Altered group
RPLP2	11p15.5	13.58	13.56	0.85	0.80	0.02	0.915	0.939	Altered group
PPP1R1A	12q13.2	2.44	2.41	1.74	2.19	0.03	0.915	0.939	Altered group
MYH7	14q11.2	1.95	1.92	1.53	1.82	0.03	0.916	0.939	Altered group
PIEZO2	18p11.22-p11.21	6.82	6.78	1.71	2.45	0.03	0.916	0.939	Altered group
PCDHA1	5q31.3	2.10	2.07	1.70	1.97	0.03	0.916	0.939	Altered group
PEA15	1q23.2	12.48	12.48	0.37	0.55	0.01	0.917	0.940	Altered group
RLIM	Xq13.2	10.40	10.39	0.47	0.64	0.01	0.917	0.940	Altered group
ZBTB41	1q31.3	8.80	8.79	0.77	1.16	0.01	0.918	0.941	Altered group
OR52B2	11p15.4	0.03	0.03	0.15	0.12	0.00	0.918	0.941	Altered group
DMP1	4q22.1	0.43	0.42	1.01	0.70	0.02	0.918	0.941	Altered group
ANKRD20A4P	9q13	1.51	1.48	1.28	1.29	0.02	0.918	0.941	Altered group
NUP62	19q13.33	11.15	11.14	0.38	0.38	0.01	0.918	0.941	Altered group
MARCHF6	5p15.2	10.68	10.67	0.59	0.61	0.01	0.919	0.941	Altered group
RPSAP9	9q21.13	4.82	4.81	0.53	0.63	0.01	0.919	0.941	Altered group
POP4	19q12	9.19	9.19	0.26	0.39	0.00	0.919	0.941	Altered group
DNAAF9	20p13	9.33	9.31	0.57	0.73	0.01	0.919	0.941	Altered group
PRKCA	17q24.2	9.35	9.33	0.80	1.48	0.02	0.920	0.942	Altered group
MIR7-3HG	19p13.3	0.13	0.12	0.47	0.41	0.01	0.921	0.943	Altered group
ATP8A2	13q12.13	5.02	4.98	2.11	2.40	0.04	0.921	0.943	Altered group
LINC00606	3p25.3	0.02	0.02	0.14	0.15	0.00	0.921	0.943	Altered group
LINC02396	12q13.12	0.03	0.03	0.18	0.14	0.00	0.922	0.943	Altered group
DNAJC25	9q31.3	7.72	7.71	0.75	0.85	0.01	0.922	0.943	Altered group
ERBB4	2q34	1.95	1.91	1.86	2.09	0.03	0.923	0.944	Altered group
IGF2-AS	11p15.5	0.51	0.49	1.01	0.96	0.02	0.923	0.945	Altered group
HOMEZ	14q11.2	8.28	8.28	0.38	0.73	0.01	0.923	0.945	Altered group
ATP6V1C2	2p25.1	6.27	6.25	0.74	1.18	0.01	0.924	0.945	Altered group
RS1	Xp22.13	0.93	0.92	0.81	0.77	0.01	0.924	0.945	Altered group
TMPRSS11E	4q13.2	1.21	1.19	1.65	1.79	0.03	0.924	0.945	Altered group
DRGX	10q11.23	0.04	0.04	0.14	0.23	0.00	0.924	0.945	Altered group
TMEM213	7q34	0.49	0.48	0.70	1.05	0.01	0.924	0.945	Altered group
SEC22B	1p12	10.71	10.70	0.46	0.72	0.01	0.924	0.945	Altered group
SPTLC1	9q22.31	10.10	10.10	0.37	0.56	0.01	0.924	0.945	Altered group
OR7C2	19p13.12	0.02	0.02	0.11	0.11	0.00	0.925	0.945	Altered group
BAGE	21p11.1	1.69	1.65	2.41	2.52	0.04	0.925	0.945	Altered group
RHO	3q22.1	0.15	0.15	0.30	0.31	0.00	0.925	0.946	Altered group
SGCA	17q21.33	2.73	2.71	1.13	1.26	0.02	0.926	0.946	Altered group
SRP14	15q22	11.97	11.97	0.40	0.53	0.01	0.926	0.947	Altered group
GTF2A1L	2p16.3	1.77	1.75	1.35	1.48	0.02	0.927	0.947	Altered group
SIAE	11q24.2	8.58	8.57	0.68	0.90	0.01	0.927	0.947	Altered group
LDLRAD2	1p36.12	7.38	7.37	0.69	1.08	0.01	0.927	0.947	Altered group
KLF17	1p34.1	2.81	2.78	1.64	1.51	0.03	0.927	0.947	Altered group
CSPP1	8q13.1-q13.2	7.75	7.74	0.54	1.04	0.01	0.928	0.948	Altered group
SSX2IP	1p22.3	8.78	8.76	1.08	1.21	0.02	0.928	0.948	Altered group
ATF4	22q13.1	12.55	12.54	0.43	0.64	0.01	0.929	0.949	Altered group
OR10Q1	11q12.1	0.06	0.05	0.21	0.22	0.00	0.929	0.949	Altered group
CFL1	11q13.1	14.34	14.33	0.37	0.62	0.01	0.929	0.949	Altered group
PCTP	17q22	8.54	8.53	0.42	0.77	0.01	0.929	0.949	Altered group
GPRC5C	17q25.1	5.76	5.74	1.76	1.99	0.03	0.930	0.949	Altered group
TTTY9B	Yq11.222	0.02	0.02	0.12	0.21	0.00	0.930	0.949	Altered group
CDK1	10q21.2	9.03	9.02	0.87	1.02	0.01	0.930	0.949	Altered group
MST1P2	1p36.13	5.40	5.38	1.24	1.68	0.02	0.930	0.950	Altered group
KRTAP10-6	21q22.3	0.05	0.04	0.21	0.42	0.00	0.930	0.950	Altered group
CACNA2D2	3p21.31	4.17	4.15	0.94	1.95	0.02	0.931	0.950	Altered group
AWAT2	Xq13.1	0.33	0.32	0.41	0.96	0.01	0.931	0.950	Altered group
STPG2	4q22.3-q23	0.39	0.39	0.58	0.51	0.01	0.932	0.951	Altered group
MAPKAPK3	3p21.2	10.18	10.17	0.42	0.71	0.01	0.932	0.951	Altered group
OR8G5	11q24.2	0.10	0.09	0.25	0.28	0.00	0.932	0.951	Altered group
DNAJB12	10q22.1	10.04	10.03	0.36	0.49	0.01	0.932	0.951	Altered group
DENND2A	7q34	6.29	6.27	1.65	1.91	0.02	0.933	0.952	Altered group
ZNF207	17q11.2	11.51	11.51	0.19	0.34	0.00	0.933	0.952	Altered group
DHFR	5q14.1	8.53	8.52	0.63	0.91	0.01	0.933	0.952	Altered group
UNC50	2q11.2	8.98	8.97	0.30	0.44	0.00	0.933	0.952	Altered group
PDLIM4	5q31.1	7.98	7.95	1.87	2.87	0.03	0.934	0.952	Altered group
RBMS2	12q13.3	9.37	9.36	0.62	0.61	0.01	0.934	0.952	Altered group
GRM7	3p26.1	0.87	0.86	1.07	1.56	0.02	0.934	0.953	Altered group
PRMT9	4q31.23	7.56	7.56	0.53	0.67	0.01	0.935	0.953	Altered group
PPP4R3C	Xp21.3	1.05	1.02	1.93	2.04	0.03	0.935	0.953	Altered group
KIF12	9q32	1.51	1.49	1.39	1.42	0.02	0.935	0.953	Altered group
PPIAL4G	1q21.2	4.25	4.24	0.56	0.61	0.01	0.935	0.953	Altered group
YOD1	1q32.1	8.37	8.36	0.69	0.98	0.01	0.935	0.953	Altered group
DUSP19	2q32.1	6.44	6.43	0.79	0.90	0.01	0.936	0.954	Altered group
TMEM268	9q32	9.95	9.94	0.51	0.85	0.01	0.936	0.954	Altered group
AKAP8	19p13.12	9.46	9.46	0.36	0.35	0.01	0.936	0.954	Altered group
MCF2	Xq27.1	1.95	1.93	1.11	2.44	0.02	0.936	0.954	Altered group
NPSR1	7p14.3	0.03	0.03	0.12	0.12	0.00	0.936	0.954	Altered group
LHCGR	2p16.3	0.13	0.13	0.27	0.49	0.00	0.937	0.954	Altered group
AKAP6	14q12	8.64	8.61	2.09	2.45	0.03	0.937	0.954	Altered group
BRINP2	1q25.2	0.88	0.86	1.52	1.51	0.02	0.937	0.954	Altered group
AK7	14q32.2	2.76	2.74	1.19	1.39	0.02	0.937	0.954	Altered group
ATL2	2p22.2-p22.1	9.50	9.49	0.60	0.76	0.01	0.938	0.955	Altered group
CROT	7q21.12	8.06	8.06	0.58	0.91	0.01	0.938	0.955	Altered group
OR51B4	11p15.4	0.44	0.42	1.17	0.99	0.02	0.938	0.955	Altered group
FAM74A4	9q12	0.03	0.03	0.20	0.19	0.00	0.939	0.956	Altered group
TRPM4	19q13.33	8.43	8.42	1.09	1.23	0.01	0.939	0.956	Altered group
VN1R2	19q13.42	0.03	0.03	0.14	0.14	0.00	0.939	0.956	Altered group
MYLK2	20q11.21	2.02	2.01	1.04	1.03	0.01	0.939	0.956	Altered group
GALNT14	2p23.1	4.45	4.42	1.87	2.62	0.03	0.939	0.956	Altered group
RPS6KL1	14q24.2	6.09	6.07	1.18	1.81	0.02	0.939	0.956	Altered group
GMCL2	5q35.3	1.85	1.84	0.73	0.82	0.01	0.939	0.956	Altered group
POU3F2	6q16.1	6.16	6.13	2.47	2.31	0.03	0.940	0.956	Altered group
ANKRD31	5q13.3	1.02	1.01	0.77	0.90	0.01	0.940	0.956	Altered group
CAV2	7q31.2	9.86	9.85	0.99	1.01	0.01	0.940	0.956	Altered group
C9ORF85	9q21.13	7.25	7.24	0.54	0.71	0.01	0.940	0.957	Altered group
