Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
POP5	12q24.31	8.22	8.45	0.47	0.62	-0.23	9.749e-3	0.0333	Unaltered group
METTL27	7q11.23	5.46	6.17	1.47	1.50	-0.71	9.808e-3	0.0335	Unaltered group
TLCD3B	16p11.2	1.30	1.77	0.95	1.36	-0.47	9.825e-3	0.0335	Unaltered group
THEG	19p13.3	0.78	1.30	1.03	1.68	-0.52	9.833e-3	0.0335	Unaltered group
SSX8P	Xp11.22	0.03	0.10	0.11	0.48	-0.08	9.844e-3	0.0336	Unaltered group
GSPT1	16p13.13	11.59	11.77	0.35	0.44	-0.17	9.868e-3	0.0336	Unaltered group
HCN3	1q22	6.28	6.72	0.90	1.00	-0.44	9.883e-3	0.0337	Unaltered group
HRAS	11p15.5	8.59	8.87	0.57	0.65	-0.28	9.924e-3	0.0338	Unaltered group
PGBD2	1q	7.12	7.34	0.43	0.59	-0.21	9.961e-3	0.0339	Unaltered group
NDUFB9	8q24.13	11.03	11.35	0.67	0.77	-0.32	9.963e-3	0.0339	Unaltered group
NHP2	5q35.3	10.01	10.30	0.59	0.61	-0.28	9.969e-3	0.0339	Unaltered group
AMMECR1	Xq23	8.50	8.75	0.52	0.58	-0.25	9.985e-3	0.0340	Unaltered group
FAR2P1	2q21.1	2.19	2.96	1.53	2.51	-0.77	9.986e-3	0.0340	Unaltered group
ELAC2	17p12	10.06	10.18	0.24	0.44	-0.12	9.997e-3	0.0340	Unaltered group
ELOC	8q21.11	9.46	9.75	0.60	0.70	-0.29	0.0100	0.0340	Unaltered group
MRPL4	19p13.2	9.53	9.80	0.56	0.58	-0.27	0.0100	0.0340	Unaltered group
FURIN	15q26.1	12.02	12.42	0.81	1.21	-0.40	0.0100	0.0340	Unaltered group
TNNI1	1q32.1	5.33	5.86	1.11	1.21	-0.54	0.0100	0.0340	Unaltered group
ANAPC11	17q25.3	10.22	10.60	0.80	0.71	-0.38	0.0100	0.0341	Unaltered group
SH3YL1	2p25.3	9.78	10.12	0.71	0.79	-0.34	0.0100	0.0341	Unaltered group
C8ORF33	8q24.3	9.93	10.21	0.58	0.61	-0.28	0.0101	0.0342	Unaltered group
ZNF76	6p21.31	9.26	9.51	0.52	0.55	-0.25	0.0101	0.0343	Unaltered group
ACLY	17q21.2	11.64	11.83	0.40	0.56	-0.20	0.0101	0.0343	Unaltered group
RAP1GAP2	17p13.3	8.60	9.04	0.90	1.07	-0.44	0.0101	0.0343	Unaltered group
FAM184B	4p15.32-p15.31	1.33	2.02	1.42	1.72	-0.69	0.0101	0.0343	Unaltered group
NOS1AP	1q23.3	5.10	5.75	1.38	1.14	-0.66	0.0101	0.0344	Unaltered group
NDUFAF7	2p22.2	7.75	7.92	0.34	0.45	-0.17	0.0102	0.0344	Unaltered group
OTOR	20p12.1	0.15	0.32	0.32	0.74	-0.17	0.0102	0.0344	Unaltered group
NUBPL	14q12	7.70	7.92	0.43	0.65	-0.21	0.0102	0.0344	Unaltered group
DEFA6	8p23.1	0.02	0.12	0.10	0.75	-0.10	0.0102	0.0344	Unaltered group
PTGES2	9q34.11	9.47	9.75	0.59	0.56	-0.28	0.0102	0.0345	Unaltered group
TCTN2	12q24.31	8.30	8.61	0.65	0.61	-0.31	0.0102	0.0345	Unaltered group
ZNF593	1p36.11	8.51	8.89	0.80	0.72	-0.38	0.0102	0.0346	Unaltered group
LRRC73	6p21.1	3.76	4.35	1.22	1.43	-0.59	0.0102	0.0346	Unaltered group
B3GAT3	11q12.3	9.43	9.74	0.64	0.64	-0.31	0.0103	0.0347	Unaltered group
CHCHD3	7q32.3-q33	9.44	9.62	0.37	0.51	-0.18	0.0103	0.0347	Unaltered group
C10ORF88	10q26.13	7.55	7.71	0.33	0.46	-0.16	0.0103	0.0348	Unaltered group
RNF148	7q31.32	2.15	2.62	0.98	1.05	-0.47	0.0103	0.0348	Unaltered group
ZNRF1	16q23.1	9.00	9.18	0.37	0.58	-0.18	0.0103	0.0348	Unaltered group
KMT5A	12q24.31	9.32	9.53	0.44	0.48	-0.21	0.0103	0.0348	Unaltered group
GRAMD2B	5q23.2	9.05	9.24	0.38	0.75	-0.20	0.0103	0.0348	Unaltered group
MAGOHB	12p13.2	7.80	8.11	0.65	0.66	-0.31	0.0103	0.0348	Unaltered group
C5ORF34	5p12	5.39	5.75	0.73	1.15	-0.36	0.0104	0.0349	Unaltered group
SEPTIN12	16p13.3	0.22	0.46	0.48	0.79	-0.24	0.0104	0.0349	Unaltered group
ZNF733P	7q11.21	0.06	0.21	0.25	0.79	-0.15	0.0104	0.0349	Unaltered group
DDX31	9q34.13	7.94	8.11	0.35	0.47	-0.17	0.0104	0.0350	Unaltered group
RAB11FIP5	2p13.2	9.54	9.79	0.51	0.62	-0.25	0.0104	0.0350	Unaltered group
C11ORF24	11q13.2	9.79	10.01	0.44	0.59	-0.22	0.0104	0.0350	Unaltered group
ZFP41	8q24.3	7.97	8.24	0.55	0.71	-0.27	0.0104	0.0350	Unaltered group
MST1P2	1p36.13	6.41	7.17	1.56	1.90	-0.76	0.0104	0.0351	Unaltered group
NELFCD	20q13.32	10.37	10.65	0.59	0.56	-0.28	0.0105	0.0352	Unaltered group
TUBB4A	19p13.3	6.05	6.56	1.03	1.31	-0.50	0.0105	0.0352	Unaltered group
SIX5	19q13.32	8.61	8.91	0.62	0.64	-0.30	0.0105	0.0353	Unaltered group
MIPOL1	14q13.3-q21.1	6.46	6.82	0.74	0.94	-0.36	0.0105	0.0353	Unaltered group
IFITM5	11p15.5	0.52	0.91	0.79	1.26	-0.39	0.0105	0.0354	Unaltered group
SUPT5H	19q13.2	11.59	11.77	0.36	0.51	-0.18	0.0105	0.0354	Unaltered group
SNX4	3q21.2	9.64	9.77	0.26	0.43	-0.13	0.0106	0.0354	Unaltered group
MCU	10q22.1	9.81	10.15	0.71	0.72	-0.34	0.0106	0.0354	Unaltered group
TMEM14B	6p24.2	10.03	10.31	0.58	0.65	-0.28	0.0106	0.0355	Unaltered group
RAD1	5p13.2	9.48	9.72	0.49	0.58	-0.24	0.0106	0.0355	Unaltered group
GPKOW	Xp11.23	8.85	8.98	0.26	0.46	-0.13	0.0106	0.0356	Unaltered group
ZCCHC4	4p15.2	7.46	7.63	0.35	0.49	-0.17	0.0106	0.0356	Unaltered group
C11ORF1	11q23.1	7.87	8.16	0.59	0.79	-0.29	0.0106	0.0356	Unaltered group
FZD5	2q33.3	9.36	9.71	0.74	0.78	-0.35	0.0107	0.0357	Unaltered group
CISD3	17q12	9.48	9.75	0.56	0.58	-0.27	0.0107	0.0358	Unaltered group
COG4	16q22.1	10.26	10.42	0.33	0.45	-0.16	0.0107	0.0358	Unaltered group
NME2	17q21.33	12.57	12.86	0.61	0.70	-0.29	0.0107	0.0359	Unaltered group
ZNF513	2p23.3	8.42	8.73	0.65	0.65	-0.31	0.0107	0.0359	Unaltered group
AARS1	16q22.1	11.52	11.70	0.38	0.59	-0.19	0.0108	0.0361	Unaltered group
PMPCB	7q22.1	10.18	10.34	0.32	0.49	-0.16	0.0108	0.0361	Unaltered group
EPHX1	1q42.12	11.87	12.38	1.05	1.38	-0.51	0.0108	0.0361	Unaltered group
GDPD3	16p11.2	5.62	6.24	1.29	1.55	-0.62	0.0108	0.0361	Unaltered group
DDIT4L	4q24	6.10	6.83	1.52	2.01	-0.74	0.0108	0.0362	Unaltered group
TMEM185B	2q14.2	8.91	9.10	0.38	0.50	-0.18	0.0109	0.0362	Unaltered group
FBXL18	7p22.1	8.50	8.81	0.63	0.92	-0.31	0.0109	0.0362	Unaltered group
FAM47C	Xp21.1	0.14	0.31	0.34	0.61	-0.17	0.0109	0.0362	Unaltered group
C19ORF48	19q13.33	9.35	9.68	0.69	0.82	-0.33	0.0109	0.0362	Unaltered group
MRPL18	6q25.3	9.53	9.74	0.42	0.52	-0.20	0.0109	0.0364	Unaltered group
SURF4	9q34.2	12.71	12.88	0.35	0.41	-0.17	0.0109	0.0364	Unaltered group
TRPC4AP	20q11.22	11.28	11.37	0.18	0.34	-0.09	0.0109	0.0364	Unaltered group
HBZ	16p13.3	0.08	0.18	0.20	0.39	-0.10	0.0109	0.0364	Unaltered group
CHPF	2q35	11.18	11.59	0.86	0.81	-0.41	0.0110	0.0364	Unaltered group
DCTN1	2p13.1	11.64	11.81	0.35	0.48	-0.17	0.0110	0.0364	Unaltered group
ELL3	15q15.3	7.17	7.52	0.74	0.81	-0.35	0.0110	0.0365	Unaltered group
SYCE1L	16q23.1	3.17	3.83	1.39	1.55	-0.66	0.0110	0.0365	Unaltered group
H2BC5	6p22.2	7.81	8.37	1.17	1.16	-0.56	0.0110	0.0366	Unaltered group
POLR2D	2q14.3	9.25	9.45	0.41	0.50	-0.20	0.0110	0.0366	Unaltered group
ROMO1	20q11.22	9.63	10.01	0.81	0.79	-0.38	0.0110	0.0366	Unaltered group
HTR2C	Xq23	0.62	1.31	1.41	2.15	-0.69	0.0111	0.0367	Unaltered group
ZNF140	12q24.33	8.63	8.82	0.40	0.47	-0.19	0.0111	0.0368	Unaltered group
MPP3	17q21.31	6.11	6.58	0.98	1.13	-0.47	0.0111	0.0368	Unaltered group
NBR2	17q21.31	6.89	7.21	0.67	0.79	-0.32	0.0111	0.0368	Unaltered group
SDF2	17q11.2	9.85	10.05	0.42	0.50	-0.20	0.0111	0.0369	Unaltered group
ONECUT1	15q21.3	1.84	2.58	1.56	1.76	-0.74	0.0111	0.0369	Unaltered group
H2BC6	6p22.2	3.27	3.66	0.80	1.06	-0.39	0.0111	0.0370	Unaltered group
SCGB1D2	11q12.3	0.12	0.32	0.36	1.06	-0.20	0.0111	0.0370	Unaltered group
HEATR4	14q24.3	2.05	2.47	0.87	1.23	-0.42	0.0112	0.0370	Unaltered group
PTGES	9q34.11	8.71	9.21	1.02	1.54	-0.50	0.0112	0.0371	Unaltered group
HDAC2	6q21	10.69	10.86	0.34	0.57	-0.17	0.0112	0.0371	Unaltered group
E2F8	11p15.1	6.47	6.93	0.95	1.25	-0.46	0.0112	0.0372	Unaltered group
DPH2	1p34.1	8.90	9.14	0.50	0.51	-0.24	0.0113	0.0374	Unaltered group
TTC8	14q31.3	8.26	8.42	0.34	0.53	-0.17	0.0113	0.0374	Unaltered group
SPANXD	Xq27.2	0.12	0.38	0.47	1.21	-0.26	0.0113	0.0374	Unaltered group
SETDB1	1q21.3	9.91	10.09	0.37	0.51	-0.18	0.0113	0.0374	Unaltered group
CEBPZ	2p22.2	10.10	10.26	0.35	0.41	-0.16	0.0113	0.0374	Unaltered group
SEPTIN7P9	10p11.1	0.49	0.75	0.56	0.63	-0.26	0.0113	0.0374	Unaltered group
ENOPH1	4q21.22	9.78	9.96	0.37	0.47	-0.18	0.0113	0.0374	Unaltered group
AMIGO3	3p21.31	6.25	6.57	0.68	0.81	-0.32	0.0113	0.0374	Unaltered group
AGRN	1p36.33	12.51	13.01	1.07	0.95	-0.50	0.0113	0.0375	Unaltered group
HSPB9	17q21.2	2.09	2.56	0.96	1.47	-0.47	0.0114	0.0375	Unaltered group
RPS6KB2	11q13.2	9.79	10.00	0.44	0.55	-0.21	0.0114	0.0375	Unaltered group
TNFRSF12A	16p13.3	9.99	10.49	1.04	1.23	-0.50	0.0114	0.0376	Unaltered group
TRAF3IP1	2q37.3	8.77	9.00	0.48	0.53	-0.23	0.0114	0.0376	Unaltered group
TIMM44	19p13.2	8.67	8.91	0.50	0.50	-0.24	0.0114	0.0376	Unaltered group
EXOC3	5p15.33	10.22	10.39	0.34	0.52	-0.17	0.0114	0.0377	Unaltered group
DHX57	2p22.1	8.94	9.11	0.35	0.46	-0.17	0.0114	0.0377	Unaltered group
PKD1L2	16q23.2	3.27	4.11	1.76	2.28	-0.85	0.0115	0.0378	Unaltered group
SUOX	12q13.2	9.24	9.42	0.37	0.56	-0.18	0.0115	0.0379	Unaltered group
G6PC3	17q21.31	10.10	10.26	0.33	0.52	-0.16	0.0115	0.0379	Unaltered group
OGDHL	10q11.23	2.79	3.86	2.24	2.54	-1.06	0.0115	0.0379	Unaltered group
RNF32	7q36.3	5.43	5.70	0.56	0.92	-0.27	0.0115	0.0380	Unaltered group
CHMP1A	16q24.3	10.90	11.11	0.44	0.50	-0.21	0.0116	0.0380	Unaltered group
TIGD7	16p13.3	7.38	7.64	0.53	0.76	-0.26	0.0117	0.0383	Unaltered group
AOPEP	9q22.32	8.85	9.13	0.57	0.75	-0.27	0.0117	0.0385	Unaltered group
KRT33A	17q21.2	0.02	0.11	0.10	0.67	-0.09	0.0117	0.0385	Unaltered group
DDI1	11q22.3	0.02	0.07	0.11	0.23	-0.06	0.0117	0.0385	Unaltered group
BMPR1A	10q23.2	8.65	8.84	0.40	0.51	-0.19	0.0118	0.0386	Unaltered group
IGSF8	1q23.2	9.94	10.23	0.61	0.75	-0.29	0.0118	0.0388	Unaltered group
COA6	1q42.2	8.41	8.75	0.73	0.79	-0.34	0.0118	0.0388	Unaltered group
DPY19L1	7p14.2	10.57	10.92	0.73	0.94	-0.35	0.0118	0.0388	Unaltered group
OR10AD1	12q13.11	1.01	1.41	0.84	1.00	-0.40	0.0118	0.0389	Unaltered group
BEND3	6q21	7.28	7.56	0.60	0.67	-0.28	0.0119	0.0389	Unaltered group
TSC2	16p13.3	10.57	10.83	0.55	0.57	-0.26	0.0119	0.0390	Unaltered group
EIF4H	7q11.23	12.00	12.14	0.28	0.40	-0.13	0.0119	0.0391	Unaltered group
MRPL20-AS1	1p36.33	8.40	8.66	0.56	0.54	-0.26	0.0119	0.0391	Unaltered group
SLC3A2	11q12.3	11.55	11.72	0.35	0.66	-0.18	0.0120	0.0392	Unaltered group
SLC35F5	2q14.1	9.92	10.14	0.45	0.63	-0.22	0.0120	0.0392	Unaltered group
TMEM234	1p35.2	7.51	7.77	0.53	0.66	-0.25	0.0120	0.0392	Unaltered group
FLYWCH2	16p13.3	8.44	8.72	0.61	0.58	-0.29	0.0120	0.0392	Unaltered group
TUBAL3	10p15.1	2.02	2.66	1.34	1.71	-0.64	0.0120	0.0393	Unaltered group
ZNF707	8q24.3	7.66	7.91	0.51	0.71	-0.24	0.0121	0.0394	Unaltered group
SNRPF	12q23.1	9.31	9.57	0.54	0.69	-0.25	0.0121	0.0394	Unaltered group
XRCC2	7q36.1	5.43	5.89	0.98	1.24	-0.46	0.0121	0.0395	Unaltered group
ERAS	Xp11.23	0.78	1.15	0.78	0.92	-0.37	0.0121	0.0396	Unaltered group
CYTH2	19q13.33	10.28	10.49	0.45	0.53	-0.21	0.0121	0.0396	Unaltered group
DIS3L2	2q37.1	8.61	8.80	0.40	0.43	-0.19	0.0121	0.0396	Unaltered group
MAN1B1	9q34.3	10.76	10.96	0.43	0.47	-0.20	0.0121	0.0396	Unaltered group
SKA3	13q12.11	6.32	6.74	0.87	1.33	-0.42	0.0122	0.0397	Unaltered group
PPFIA3	19q13.33	6.82	7.18	0.74	1.15	-0.36	0.0122	0.0398	Unaltered group
CDC25C	5q31.2	5.38	5.94	1.18	1.45	-0.56	0.0122	0.0398	Unaltered group
SLC30A9	4p13	10.33	10.49	0.33	0.45	-0.16	0.0122	0.0398	Unaltered group
TLCD3A	17p13.3	8.70	8.95	0.50	0.75	-0.24	0.0123	0.0399	Unaltered group
SEC61A1	3q21.3	13.14	13.31	0.35	0.44	-0.17	0.0123	0.0400	Unaltered group
LIG3	17q12	9.04	9.26	0.47	0.55	-0.22	0.0123	0.0400	Unaltered group
ESX1	Xq22.2	0.07	0.20	0.22	0.77	-0.13	0.0123	0.0400	Unaltered group
PAXIP1	7q36.2	8.37	8.63	0.57	0.54	-0.26	0.0123	0.0400	Unaltered group
RPL8	8q24.3	14.64	14.99	0.76	0.80	-0.35	0.0123	0.0400	Unaltered group
PIM3	22q13.33	10.95	11.23	0.58	0.80	-0.28	0.0123	0.0401	Unaltered group
JRKL	11q21	8.35	8.58	0.49	0.57	-0.23	0.0124	0.0401	Unaltered group
C16ORF46	16q23.2	5.18	5.42	0.51	0.68	-0.24	0.0124	0.0401	Unaltered group
PNKD	2q35	11.14	11.39	0.51	0.77	-0.25	0.0124	0.0403	Unaltered group
GPD2	2q24.1	10.25	10.49	0.50	0.53	-0.23	0.0124	0.0403	Unaltered group
PPP1R27	17q25.3	0.33	0.58	0.51	0.71	-0.24	0.0125	0.0404	Unaltered group
FOXD2-AS1	1p33	6.00	6.39	0.83	0.85	-0.39	0.0125	0.0405	Unaltered group
ACACA	17q12	10.50	10.82	0.69	0.64	-0.32	0.0125	0.0406	Unaltered group
BAIAP2-DT	17q25.3	9.71	10.07	0.76	1.01	-0.36	0.0126	0.0407	Unaltered group
ANKS6	9q22.33	9.02	9.28	0.55	0.64	-0.26	0.0126	0.0408	Unaltered group
ATP2B3	Xq28	0.44	0.70	0.51	0.98	-0.25	0.0126	0.0408	Unaltered group
PPIL1	6p21.2	9.29	9.59	0.64	0.66	-0.30	0.0127	0.0410	Unaltered group
SRCAP	16p11.2	11.83	12.02	0.41	0.41	-0.19	0.0127	0.0410	Unaltered group
C1QL4	12q13.12	0.76	1.15	0.78	1.39	-0.38	0.0127	0.0412	Unaltered group
ZNF681	19p12	6.53	6.89	0.76	0.94	-0.36	0.0128	0.0412	Unaltered group
NDUFB4	3q13.33	10.45	10.68	0.48	0.59	-0.23	0.0128	0.0413	Unaltered group
MIDN	19p13.3	11.03	11.26	0.46	0.69	-0.22	0.0128	0.0413	Unaltered group
KISS1R	19p13.3	2.86	3.70	1.78	2.14	-0.83	0.0128	0.0413	Unaltered group
ARF3	12q13.12	12.34	12.48	0.29	0.44	-0.14	0.0128	0.0413	Unaltered group
FKBP3	14q21.2	9.99	10.25	0.55	0.65	-0.26	0.0128	0.0413	Unaltered group
DAND5	19p13.13	1.01	1.40	0.84	0.99	-0.39	0.0128	0.0414	Unaltered group
DXO	6p21.33	8.04	8.33	0.62	0.66	-0.29	0.0129	0.0415	Unaltered group
GABRG2	5q34	0.36	0.92	1.14	1.94	-0.55	0.0129	0.0415	Unaltered group
MSANTD3	9q31.1	8.08	8.29	0.45	0.59	-0.21	0.0129	0.0416	Unaltered group
SYT10	12p11.1	0.15	0.32	0.31	0.85	-0.17	0.0129	0.0416	Unaltered group
TMEM97	17q11.2	9.42	9.80	0.82	0.87	-0.38	0.0129	0.0417	Unaltered group
PAX2	10q24.31	0.21	0.40	0.35	1.00	-0.19	0.0130	0.0417	Unaltered group
PRKAA2	1p32.2	6.95	7.48	1.12	1.67	-0.53	0.0130	0.0418	Unaltered group
PEMT	17p11.2	7.79	8.09	0.64	0.73	-0.30	0.0130	0.0418	Unaltered group
PRSS45P	3p21.31	1.55	2.18	1.36	1.56	-0.63	0.0130	0.0418	Unaltered group
ZC3H11A	1q32.1	11.57	11.75	0.39	0.51	-0.18	0.0131	0.0420	Unaltered group
MCTS2P	20q11.21	3.53	3.85	0.66	1.04	-0.32	0.0131	0.0420	Unaltered group
HARS2	5q31.3	9.31	9.47	0.33	0.42	-0.15	0.0131	0.0421	Unaltered group
GRM5P1	11p11.12	0.26	0.53	0.57	0.98	-0.28	0.0131	0.0421	Unaltered group
DDX52	17q12	9.21	9.40	0.40	0.50	-0.19	0.0131	0.0421	Unaltered group
ZNF876P	4p16.3	3.50	3.81	0.65	1.13	-0.32	0.0131	0.0422	Unaltered group
YIPF6	Xq12-q13.1	8.40	8.70	0.64	0.64	-0.29	0.0132	0.0422	Unaltered group
H3C7	6p22.2	0.27	0.46	0.38	0.76	-0.19	0.0132	0.0422	Unaltered group
SUZ12P1	17q11.2	7.01	7.29	0.60	0.73	-0.28	0.0132	0.0423	Unaltered group
DHX15	4p15.2	11.23	11.39	0.35	0.41	-0.16	0.0132	0.0423	Unaltered group
KIFBP	10q22.1	9.04	9.21	0.36	0.44	-0.17	0.0132	0.0423	Unaltered group
COG1	17q25.1	9.62	9.78	0.34	0.49	-0.16	0.0132	0.0424	Unaltered group
EIF3CL	16p12.1	13.04	13.27	0.49	0.56	-0.23	0.0133	0.0424	Unaltered group
MRPS10	6p21.1	9.89	10.09	0.41	0.57	-0.19	0.0133	0.0424	Unaltered group
PPBPP2	4q13.3	0.02	0.07	0.11	0.22	-0.05	0.0133	0.0424	Unaltered group
DGCR2	22q11.21	11.46	11.70	0.52	0.58	-0.24	0.0133	0.0425	Unaltered group
AMZ2	17q24.2	10.22	10.38	0.34	0.46	-0.16	0.0133	0.0425	Unaltered group
ST7-AS2	7q31.2	0.19	0.38	0.40	0.73	-0.19	0.0133	0.0425	Unaltered group
BAIAP2	17q25.3	10.12	10.48	0.77	0.89	-0.36	0.0133	0.0425	Unaltered group
PIP4K2C	12q13.3	10.41	10.68	0.59	0.60	-0.27	0.0133	0.0426	Unaltered group
EPRS1	1q41	11.52	11.78	0.55	0.51	-0.25	0.0133	0.0426	Unaltered group
NLRP13	19q13.43	0.04	0.18	0.24	0.79	-0.14	0.0134	0.0427	Unaltered group
CYP2J2	1p32.1	6.66	7.04	0.79	1.15	-0.37	0.0134	0.0427	Unaltered group
KLHL31	6p12.1	3.62	4.09	1.01	1.45	-0.48	0.0134	0.0428	Unaltered group
PABPC1	8q22.3	14.69	14.89	0.43	0.71	-0.21	0.0134	0.0428	Unaltered group
MRPL27	17q21.33	9.38	9.63	0.54	0.56	-0.25	0.0135	0.0429	Unaltered group
PCYOX1	2p13.3	11.04	11.30	0.56	0.61	-0.26	0.0135	0.0429	Unaltered group
MAGED2	Xp11.21	11.72	11.94	0.46	0.63	-0.21	0.0135	0.0431	Unaltered group
PCGF3	4p16.3	10.01	10.24	0.50	0.53	-0.23	0.0136	0.0432	Unaltered group
TRMT5	14q23.1	8.56	8.75	0.41	0.49	-0.19	0.0136	0.0433	Unaltered group
MLST8	16p13.3	9.37	9.66	0.63	0.53	-0.29	0.0136	0.0434	Unaltered group
MAGEC3	Xq27.2	0.52	0.92	0.82	1.45	-0.40	0.0137	0.0434	Unaltered group
CEP72	5p15.33	6.55	6.91	0.78	0.85	-0.36	0.0137	0.0435	Unaltered group
EIF2B1	12q24.31	9.98	10.11	0.26	0.40	-0.12	0.0137	0.0435	Unaltered group
FUNDC1	Xp11.3	8.17	8.38	0.47	0.58	-0.22	0.0137	0.0435	Unaltered group
ASAH2B	10q11.23	2.47	3.00	1.15	1.28	-0.53	0.0137	0.0436	Unaltered group
IL17C	16q24.2	1.65	2.31	1.41	1.86	-0.66	0.0137	0.0436	Unaltered group
UBE2J2	1p36.33	9.69	9.88	0.41	0.46	-0.19	0.0137	0.0436	Unaltered group
ATRAID	2p23.3	11.06	11.32	0.56	0.64	-0.26	0.0137	0.0437	Unaltered group
ACOT13	6p22.3	9.39	9.61	0.46	0.65	-0.22	0.0138	0.0437	Unaltered group
FUBP3	9q34.11-q34.12	9.98	10.12	0.29	0.38	-0.14	0.0138	0.0438	Unaltered group
PDIA4	7q36.1	12.88	13.18	0.67	0.72	-0.31	0.0138	0.0438	Unaltered group
PDCD11	10q24.33	9.84	10.08	0.53	0.60	-0.24	0.0139	0.0440	Unaltered group
NDUFC2	11q14.1	10.61	10.80	0.41	0.51	-0.19	0.0139	0.0440	Unaltered group
PRKAB1	12q24.23	10.09	10.32	0.48	0.70	-0.23	0.0139	0.0440	Unaltered group
PPP4R1	18p11.22	11.14	11.38	0.52	0.52	-0.24	0.0139	0.0440	Unaltered group
GIPC1	19p13.12	10.93	11.24	0.67	0.65	-0.31	0.0139	0.0441	Unaltered group
HUNK	21q22.11	6.01	6.77	1.67	1.71	-0.76	0.0139	0.0441	Unaltered group
CADM4	19q13.31	8.26	8.73	1.03	1.09	-0.47	0.0139	0.0441	Unaltered group
SBK1	16p12.1	8.22	8.86	1.40	1.56	-0.64	0.0139	0.0441	Unaltered group
PSMC3IP	17q21.2	6.08	6.44	0.77	1.04	-0.36	0.0139	0.0442	Unaltered group
MMACHC	1p34.1	6.88	7.12	0.53	0.62	-0.24	0.0140	0.0442	Unaltered group
AFG3L2	18p11.21	10.03	10.20	0.36	0.53	-0.17	0.0140	0.0444	Unaltered group
PARD6B	20q13.13	8.04	8.37	0.70	0.81	-0.32	0.0140	0.0444	Unaltered group
PDCD5	19q13.11	9.41	9.65	0.51	0.67	-0.24	0.0141	0.0446	Unaltered group
PHF23	17p13.1	9.43	9.61	0.37	0.44	-0.17	0.0141	0.0446	Unaltered group
BCL7C	16p11.2	9.21	9.57	0.80	0.68	-0.36	0.0141	0.0446	Unaltered group
CCNO	5q11.2	6.29	6.84	1.19	1.67	-0.56	0.0141	0.0446	Unaltered group
ZNF653	19p13.2	6.36	6.66	0.65	0.59	-0.30	0.0141	0.0446	Unaltered group
ZNRD2	11q13.1	8.21	8.59	0.83	0.61	-0.37	0.0141	0.0446	Unaltered group
CABP7	22q12.2	2.74	3.19	0.95	1.42	-0.45	0.0142	0.0449	Unaltered group
SNORA8	11q21	8.18	8.48	0.65	0.80	-0.30	0.0142	0.0449	Unaltered group
POLG2	17q23.3	6.86	7.05	0.42	0.53	-0.19	0.0142	0.0449	Unaltered group
CYREN	7q33	9.19	9.34	0.31	0.52	-0.15	0.0143	0.0450	Unaltered group
PIGV	1p36.11	8.44	8.65	0.44	0.55	-0.20	0.0143	0.0450	Unaltered group
CEP131	17q25.3	8.18	8.63	1.01	0.88	-0.46	0.0143	0.0452	Unaltered group
DHFR	5q14.1	7.74	8.01	0.59	0.70	-0.27	0.0144	0.0452	Unaltered group
DKKL1	19q13.33	1.90	2.45	1.18	1.43	-0.54	0.0144	0.0453	Unaltered group
CCT4	2p15	11.56	11.78	0.48	0.55	-0.22	0.0144	0.0453	Unaltered group
SEC13	3p25.3	11.02	11.23	0.44	0.46	-0.20	0.0144	0.0453	Unaltered group
PIMREG	17p13.2	5.93	6.39	0.96	1.50	-0.46	0.0144	0.0453	Unaltered group
TRIM17	1q42.13	4.49	5.20	1.53	1.97	-0.71	0.0144	0.0454	Unaltered group
GINS3	16q21	6.99	7.28	0.61	0.81	-0.28	0.0145	0.0454	Unaltered group
RNFT2	12q24.22	5.72	6.16	0.95	1.37	-0.44	0.0145	0.0454	Unaltered group
DMBX1	1p33	2.75	3.50	1.61	2.28	-0.75	0.0145	0.0455	Unaltered group
CBLC	19q13.32	7.44	8.08	1.39	1.49	-0.63	0.0145	0.0455	Unaltered group
DALRD3	3p21.31	9.09	9.27	0.40	0.50	-0.18	0.0145	0.0455	Unaltered group
CCND1	11q13.3	12.05	12.37	0.68	1.16	-0.32	0.0145	0.0455	Unaltered group
ATP5MF	7q22.1	10.41	10.76	0.77	0.83	-0.35	0.0145	0.0456	Unaltered group
RAI1	17p11.2	9.96	10.32	0.81	0.74	-0.37	0.0145	0.0457	Unaltered group
LINC00167	11q24.3	0.81	1.11	0.66	0.82	-0.30	0.0146	0.0457	Unaltered group
UQCRHL	1p36.21	8.57	8.85	0.61	0.72	-0.28	0.0146	0.0457	Unaltered group
RBM42	19q13.12	10.26	10.50	0.52	0.62	-0.24	0.0146	0.0457	Unaltered group
DGCR8	22q11.21	9.33	9.51	0.40	0.47	-0.18	0.0146	0.0458	Unaltered group
VWA1	1p36.33	11.14	11.52	0.84	0.89	-0.38	0.0146	0.0458	Unaltered group
GLRX3	10q26.3	9.85	10.11	0.59	0.62	-0.27	0.0146	0.0458	Unaltered group
CIAO3	16p13.3	8.87	9.15	0.61	0.55	-0.27	0.0146	0.0459	Unaltered group
ZNF664	12q24.31	11.47	11.70	0.49	0.58	-0.23	0.0146	0.0459	Unaltered group
PRMT3	11p15.1	8.14	8.37	0.51	0.54	-0.23	0.0146	0.0459	Unaltered group
NUDT17	1q21.1	5.47	5.75	0.60	0.82	-0.28	0.0147	0.0459	Unaltered group
HORMAD2	22q12.2	0.72	1.09	0.79	1.18	-0.37	0.0147	0.0460	Unaltered group
